Time,Data1,Data2
0.01,-0.04,0.0
0.15,-0.47,1.47
0.3,-1.51,6.67
0.44,-1.62,11.07
0.59,1.87,0.77
0.74,3.82,-9.68
0.88,0.86,-7.91
1.01,-4.14,1.55
1.16,-6.91,10.91
1.29,-3.85,9.5
1.42,2.48,0.7
1.59,8.03,-11.06
1.74,4.61,-10.01
1.89,-3.74,0.29
2.03,-9.65,9.66
2.18,-8.42,12.83
2.33,1.01,2.92
2.48,9.22,-7.4
2.62,10.94,-15.72
2.76,2.66,-8.08
2.91,-7.88,1.78
3.05,-13.32,10.51
3.18,-9.11,8.06
3.32,1.19,-1.54
3.45,10.66,-11.1
3.6,13.46,-19.88
3.76,3.2,-11.79
3.92,-10.12,-1.17
4.06,-15.88,7.69
4.2,-9.65,4.66
4.33,2.7,-4.58
4.48,14.0,-14.39
4.62,15.59,-21.07
4.75,5.76,-14.16
4.9,-8.86,-4.5
5.03,-17.57,4.52
5.19,-14.08,5.22
5.34,1.66,-5.7
5.49,15.08,-15.59
5.63,18.32,-23.5
5.76,8.17,-15.08
5.91,-8.14,-4.55
6.04,-19.19,7.03
6.19,-17.5,12.4
6.34,-1.84,2.11
6.48,15.08,-9.81
6.62,22.43,-22.45
6.76,13.9,-20.6
6.89,-3.49,-11.52
7.05,-22.32,6.14
7.2,-26.06,27.08
7.34,-8.93,18.87
7.47,13.28,4.73
7.61,30.53,-22.66
7.74,30.46,-47.01
7.89,6.44,-37.24
8.04,-25.13,-11.26
8.2,-44.03,36.43
8.35,-28.69,46.91
8.49,8.5,31.1
8.65,45.94,-14.21
8.8,54.18,-59.19
8.93,28.73,-55.32
9.07,-15.41,-34.75
9.21,-57.53,16.53
9.35,-68.83,62.29
9.49,-41.54,58.22
9.63,9.36,34.29
9.76,58.25,-15.04
9.92,81.65,-69.44
10.07,58.61,-71.94
10.23,-0.04,-46.21
10.37,-63.86,13.04
10.52,-93.96,66.8
10.66,-85.97,68.03
10.81,-38.88,56.8
10.95,33.23,16.04
11.09,88.52,-41.61
11.22,111.49,-76.04
11.37,101.48,-73.88
11.5,58.32,-71.17
11.64,-16.74,-44.88
11.78,-84.42,3.94
11.92,-124.2,53.34
12.08,-136.91,51.0
12.23,-116.39,50.18
12.38,-60.48,45.65
12.51,19.55,25.51
12.66,93.71,-15.4
12.8,135.25,-62.2
12.95,156.1,-61.99
13.09,161.32,-55.66
13.22,153.68,-55.56
13.36,127.98,-55.66
13.52,64.4,-53.29
13.67,-26.35,-40.25
13.83,-106.02,-1.44
13.98,-149.62,46.11
14.13,-175.25,56.06
14.27,-184.64,116.77
14.41,-198.79,168.42
14.56,-247.1,129.46
14.61,-267.41,119.99
14.75,-353.23,97.11
14.89,-82.12,76.59
15.04,-141.66,57.52
15.2,-175.97,43.16
15.34,-202.75,35.78
15.48,-241.27,31.08
15.62,-309.31,29.37
15.76,-39.71,27.01
15.9,-110.52,23.39
16.04,-151.06,20.84
16.19,-170.53,19.39
16.33,-181.8,18.17
16.48,-195.41,16.37
16.62,-220.03,15.48
16.77,-271.26,14.42
16.92,-358.81,13.99
17.06,-81.36,13.25
17.2,-131.9,12.34
17.34,-155.56,12.03
17.48,-163.94,11.39
17.62,-160.81,11.02
17.76,-145.37,10.9
17.89,-109.19,10.54
18.04,-34.67,9.42
18.18,-307.98,9.29
18.33,-242.57,9.42
18.48,-213.05,9.13
18.62,-206.53,9.23
18.75,-216.43,9.08
18.89,-247.86,8.75
19.04,-317.09,9.07
19.19,-48.85,8.44
